SRR10095375_contig-1046000010	APG77863.1	100	50	212	63	530	579	1.23E-29	104	no
SRR10095375_contig-1377000019	AJG39092.1	100	65	3	197	721	785	2.82E-39	132	no
SRR10095375_contig-154000012	APG77861.1	98.4	193	584	6	296	488	3.19E-132	385	no
SRR10095375_contig-16225000019	APG77862.1	98.8	86	261	4	328	413	4.27E-55	176	no
SRR10095375_contig-18224000009	APG77861.1	97	33	1	99	751	783	7.27E-18	69.3	no
SRR10095375_contig-2471000013	QGA87318.1	100	58	175	2	510	567	8.81E-36	121	no
SRR10095375_contig-27000004	lcl|MW434366.1_cds_QRW42707.1	25.6	156	106	573	28	183	1.55E-19	78.6	no
SRR10095375_contig-3333000005	APG77863.1	100	59	2	178	82	140	6.29E-36	121	no
SRR10095375_contig-338000014	APG77861.1	98.9	92	12	287	640	731	2.34E-58	186	no
SRR10095375_contig-3928000006	AJG39092.1	98.8	85	1	255	13	97	1.73E-54	175	no
SRR10095375_contig-399000005	lcl|MW434326.1_cds_QRW42667.1	33.3	114	5	337	247	357	1.67E-10	53.1	no
SRR10095375_contig-399000011	APG77863.1	96.9	96	290	3	216	311	3.63E-61	191	no
SRR10095375_contig-4744000011	APG77861.1	98.4	64	1	192	544	607	8.79E-39	130	no
SRR10095375_contig-517000004	APG77862.1	99.5	203	640	32	515	717	5.99E-143	411	no
SRR10095375_contig-5622000017	AJG39092.1	100	62	187	2	180	241	1.34E-37	127	no
SRR10095375_contig-6056000003	QGA70921.1	100	45	135	1	577	621	3.93E-29	102	no
SRR10095375_contig-6842000009	APG77861.1	100	42	127	2	502	543	1.18E-25	92	no
SRR10095375_contig-7499000017	APG77861.1	100	110	330	1	47	156	1.12E-73	228	no
SRR10095375_contig-7573000014	APG77863.1	100	41	3	125	13	53	3.30E-24	87.8	no
SRR10095375_contig-7653000005	QGA70921.1	100	41	124	2	616	656	3.10E-26	93.6	no
SRR10095375_contig-7671000004	QGA70921.1	100	41	124	2	260	300	6.63E-22	81.3	no
SRR10095375_contig-8153000001	APG77862.1	98.7	79	10	246	1	79	4.58E-53	171	no
SRR10095375_contig-825000009	APG77863.1	98.7	75	227	3	139	213	1.24E-48	157	no
SRR10095375_contig-8372000002	AJG39092.1	100	41	124	2	432	472	6.18E-24	87	no
SRR10095375_contig-8671000002	AJG39092.1	100	79	239	3	691	769	5.25E-46	151	no
SRR10095375_contig-8729000015	APG77861.1	100	40	3	122	197	236	2.31E-21	79.7	no
